Designator,Mid X,Mid Y,Layer,Rotation
C1,141.450000mm,-85.400000mm,Top,0
C2,138.554000mm,-79.060000mm,Top,90
C3,159.460589mm,-101.410589mm,Top,315
C4,166.460589mm,-77.389411mm,Top,45
C5,162.939411mm,-104.939411mm,Top,315
C6,154.850000mm,-96.550000mm,Top,315
C7,164.089411mm,-79.760589mm,Top,225
C8,161.350000mm,-82.850000mm,Top,225
C9,200.152000mm,-81.788000mm,Top,90
C12,156.972000mm,-86.868000mm,Top,45
C13,154.841358mm,-88.650531mm,Top,225
C14,154.134251mm,-87.943426mm,Top,225
C15,164.000000mm,-107.500000mm,Top,45
C16,186.100000mm,-99.400000mm,Top,45
C17,160.832754mm,-79.192410mm,Top,270
C18,154.832754mm,-79.192410mm,Top,90
C19,74.958000mm,-89.154000mm,Top,180
C20,81.816000mm,-87.630000mm,Top,0
C21,165.200000mm,-76.000000mm,Top,180
C22,105.976000mm,-86.610000mm,Top,180
C23,177.810000mm,-75.400000mm,Top,0
C24,105.184000mm,-78.232000mm,Top,180
C25,95.250000mm,-78.994000mm,Top,270
C26,87.100000mm,-93.060000mm,Top,0
C27,91.020000mm,-93.060000mm,Top,180
C29,116.330000mm,-84.140000mm,Top,90
C30,106.390000mm,-81.800000mm,Top,90
C31,116.320000mm,-86.150000mm,Top,270
C32,68.072000mm,-83.820000mm,Top,0
C33,105.790000mm,-83.900000mm,Top,0
C34,64.990000mm,-104.670000mm,Top,0
C35,73.830000mm,-107.600000mm,Top,180
C37,129.970000mm,-104.960000mm,Top,0
C38,138.475000mm,-107.325000mm,Top,180
C41,86.630000mm,-105.120000mm,Top,0
C42,108.080000mm,-104.890000mm,Top,0
C43,95.590000mm,-107.530000mm,Top,180
C44,117.050000mm,-107.535000mm,Top,180
C45,57.432000mm,-96.012000mm,Top,180
C46,55.118000mm,-81.054000mm,Top,90
C47,53.622000mm,-102.362000mm,Top,270
C48,194.564000mm,-86.614000mm,Top,90
C49,202.325000mm,-89.750000mm,Top,180
C51,207.727000mm,-104.378000mm,Top,90
C52,202.552000mm,-104.414000mm,Top,90
C54,105.198000mm,-91.030000mm,Top,180
C55,105.198000mm,-92.046000mm,Top,180
C56,68.072000mm,-82.804000mm,Top,180
C57,73.406000mm,-89.570000mm,Top,270
C58,181.550000mm,-80.400000mm,Top,135
C59,187.877105mm,-97.383747mm,Top,45
C60,166.550000mm,-108.900000mm,Top,45
C61,175.339411mm,-76.339411mm,Top,315
C62,182.938582mm,-102.299705mm,Top,45
C63,175.863362mm,-109.930862mm,Top,45
C64,180.500000mm,-81.450000mm,Top,135
C65,178.855824mm,-106.073324mm,Top,45
C66,188.600000mm,-89.600000mm,Top,135
C67,184.050000mm,-84.950000mm,Top,135
D1,214.600000mm,-100.800000mm,Top,90
D2,134.600000mm,-79.330000mm,Top,90
F1,136.844000mm,-82.482500mm,Top,90
FB1,138.604000mm,-82.600000mm,Top,90
FB2,153.900000mm,-84.200000mm,Top,90
FB3,103.839500mm,-81.788000mm,Top,0
FB4,96.266000mm,-83.058000mm,Top,180
FB5,87.120000mm,-89.560000mm,Top,0
FB6,91.020000mm,-89.560000mm,Top,180
FB7,104.407500mm,-89.650000mm,Top,180
HSE1,157.882754mm,-79.192410mm,Top,180
R1,179.807851mm,-77.200096mm,Top,45
R2,157.382182mm,-81.969814mm,Top,90
R3,148.400000mm,-86.300000mm,Top,180
R4,192.800000mm,-89.625000mm,Top,270
R5,205.950000mm,-89.950000mm,Top,0
R6,202.775000mm,-82.804000mm,Top,180
R7,94.488000mm,-81.026000mm,Top,180
R8,104.394000mm,-79.756000mm,Top,180
R9,91.020000mm,-91.560000mm,Top,0
R10,87.120000mm,-91.560000mm,Top,180
R11,43.800000mm,-101.910000mm,Top,90
R12,69.699500mm,-87.376000mm,Top,180
R13,70.612000mm,-81.026000mm,Top,0
R14,82.550000mm,-82.550000mm,Top,180
R15,191.750000mm,-102.425000mm,Top,90
R16,148.400000mm,-100.400000mm,Top,180
R17,66.012000mm,-103.544000mm,Top,180
R18,73.840000mm,-108.600000mm,Top,180
R19,131.040000mm,-103.875000mm,Top,180
R20,138.475000mm,-108.350000mm,Top,180
R21,87.560000mm,-103.810000mm,Top,180
R22,109.130000mm,-103.695000mm,Top,180
R23,95.590000mm,-108.530000mm,Top,180
R24,117.050000mm,-108.585000mm,Top,180
R25,56.134000mm,-81.024000mm,Top,90
R26,54.610000mm,-102.362000mm,Top,270
R27,200.300000mm,-89.775000mm,Top,0
R29,206.700000mm,-104.400000mm,Top,90
R30,201.536000mm,-104.425000mm,Top,90
R31,73.048500mm,-83.566000mm,Top,0
R32,71.882000mm,-90.170000mm,Top,270
R33,124.738000mm,-80.802000mm,Top,180
R34,41.615000mm,-80.500000mm,Top,180
R35,48.800000mm,-103.850000mm,Top,180
R36,155.702000mm,-85.852000mm,Top,45
R37,183.510000mm,-76.770000mm,Top,0
U1,144.064000mm,-80.520000mm,Top,180
U2,196.525000mm,-79.750000mm,Top,180
U3,129.700000mm,-80.500000mm,Top,270
U7,110.650000mm,-85.100000mm,Top,0
U10,58.504000mm,-98.552000mm,Top,0
U11,197.104000mm,-87.884000mm,Top,180
U13,171.600000mm,-93.000000mm,Top,225
